Metaquin ID	Mix A	Mix B
MQ_01	8	8
MQ_02	16	1
MQ_03	64	32
MQ_04	32	256
MQ_05	8	8
MQ_06	512	512
MQ_07	32768	32768
MQ_08	1024	32768
MQ_09	4096	4096
MQ_10	8192	256
MQ_11	16384	16384
MQ_12	1	1
MQ_13	512	8192
MQ_14	1024	2048
MQ_15	32768	16384
MQ_16	256	128
MQ_17	8192	2048
MQ_18	2	2
MQ_19	32	1
MQ_20	16384	16384
MQ_21	256	8192
MQ_22	4096	8192
MQ_23	1024	1024
MQ_24	2048	16384
MQ_25	128	2048
MQ_26	16384	4096
MQ_27	128	16
MQ_28	4	4
MQ_29	32	32
MQ_30	128	128
MQ_31	512	4096
MQ_32	4	4
MQ_33	256	8
MQ_34	1024	2048
MQ_35	8192	8192
MQ_36	2	8
MQ_37	8	2
MQ_38	256	256
MQ_39	512	512
MQ_40	64	64
MQ_41	2048	2048
MQ_42	128	128
MQ_43	4096	4096
MQ_44	32	32
MQ_45	128	128
MQ_46	4096	16384
MQ_47	8	4
MQ_48	2	2
MQ_49	32768	1024
MQ_50	512	32
MQ_51	4096	512
MQ_52	1	4
MQ_53	16	512
MQ_54	8	8
MQ_55	64	16
MQ_56	2048	2048
MQ_57	32768	32768
MQ_58	4	128
MQ_59	4	1
MQ_60	32768	4096
MQ_61	64	64
MQ_62	16384	1024
MQ_63	256	256
MQ_64	8192	8192
MQ_65	1	1
MQ_66	8192	32768
MQ_67	2	4
MQ_68	16	16
MQ_69	2048	64
MQ_70	16	16
MQ_71	4	64
MQ_72	128	1024
MQ_73	1	2
MQ_74	32	512
MQ_75	1024	1024
MQ_76	512	64
MQ_77	2	16
MQ_78	16384	8192
MQ_79	8192	512
MQ_80	2048	128
MQ_81	1	32
MQ_82	16	2
MQ_83	2048	32768
MQ_84	256	256
MQ_85	64	256
MQ_86	1024	1024
